,DATA,ATIVO,CORRETORA,OPERACAO,QTD,  VALOR UNITARIO, SUB-TOTAL, TX LIQUIDAÇÃO, EMOLUMENTOS, CORRETAGEM, TOTAL CUSTOS, I.R.R.F.,TOTAL,,MONTANTE,HIST. QTD,R$ MEDIO,RESULTADO,DURATION
,2020-abr.-02 10,OIBR3,CLEAR,VENDA,800," R$ 0,490 "," R$ 392,00 ","0,10765","0,01178","0,00000","0,1194","R$0,02","R$391,86",,"0,00",0,"0,00","-735,48",
,2020-abr.-02 11,BRDT3,CLEAR,VENDA,100," R$ 14,250 "," R$ 1 425,00 ","0,39131","0,04281","0,00000","0,4341","R$0,07","R$1 424,50",,"0,00",0,"0,00","-1030,01",
,2020-abr.-02 12,TRIS3,CLEAR,VENDA,100," R$ 6,320 "," R$ 632,00 ","0,17355","0,01899","0,00000","0,1925","R$0,03","R$631,78",,"0,00",0,"0,00","-330,51",
,2020-abr.-02 13,VVAR3,CLEAR,VENDA,100," R$ 4,650 "," R$ 465,00 ","0,12769","0,01397","0,00000","0,1417","R$0,02","R$464,84",,"0,00",0,"0,00","-601,49",
,2020-abr.-02 14,VULC3,CLEAR,VENDA,200," R$ 3,950 "," R$ 790,00 ","0,21694","0,02373","0,00000","0,2407","R$0,04","R$789,72",,"0,00",0,"0,00","-524,69",
,2020-abr.-02 15,WIZS3,CLEAR,VENDA,200," R$ 9,280 "," R$ 1 856,00 ","0,50967","0,05576","0,00000","0,5654","R$0,09","R$1 855,34",,"0,00",0,"0,00","66,39",
,2020-abr.-02 16,TUPY3,CLEAR,VENDA,100," R$ 12,600 "," R$ 1 260,00 ","0,34600","0,03785","0,00000","0,3839","R$0,06","R$1 259,55",,"0,00",0,"0,00","-491,76",
,2020-abr.-06 01,AZUL4,CLEAR,COMPRA,500," R$ 15,590 "," R$ 7 795,00 ","2,14000","0,23000","21,58000","23,9500","R$0,00","R$7 818,95",,"0,00",0,"0,00","878,38",
,2020-jun.-15 01,ABEV3,CLEAR,COMPRA,5000," R$ 12,080 "," R$ 60 400,00 ","12,08000","1,98747","334,25320","348,3207","R$0,00","R$60 748,32",,"60 748,32",5 000,"12,15","0,00",
,2020-jun.-15 02,ABEV3,CLEAR,VENDA,5000," R$ 11,580 "," R$ 57 900,00 ","11,58000","1,90520","320,41821","333,9034","R$0,00","R$57 566,10",,"0,00",0,"0,00","-3182,22",
,2020-jun.-15 03,BBAS3,CLEAR,COMPRA,5000," R$ 28,440 "," R$ 142 200,00 ","28,44000","4,67910","786,93385","820,0530","R$0,00","R$143 020,05",,"143 020,05",5 000,"28,60","0,00",
,2020-jun.-15 04,BBAS3,CLEAR,VENDA,5000," R$ 27,940 "," R$ 139 700,00 ","27,94000","4,59684","773,09887","805,6357","R$0,00","R$138 894,36",,"0,00",0,"0,00","-4125,69",
